"","id","primary.type","arrest","domestic","beat","year","latitude","longitude","optional"
"76",24629,"HOMICIDE","false","false",2515,2019,41.917679518,-87.757186578,TRUE
"77",24635,"HOMICIDE","false","false",1111,2019,41.901908052,-87.739876314,TRUE
"78",24630,"HOMICIDE","false","false",731,2019,41.768087791,-87.62662791,TRUE
"79",24632,"HOMICIDE","false","false",1121,2019,41.895983749,-87.711450684,TRUE
"80",24634,"HOMICIDE","false","false",1531,2019,41.897111946,-87.75075628,TRUE
"81",24636,"HOMICIDE","false","false",1532,2019,41.886717726,-87.755294419,TRUE
"82",24633,"HOMICIDE","false","false",925,2019,41.817583306,-87.632386508,TRUE
"83",24690,"HOMICIDE","true","false",421,2019,41.752755244,-87.565040309,TRUE
"84",24637,"HOMICIDE","false","true",1532,2019,41.884914382,-87.75033461,TRUE
"85",24638,"HOMICIDE","true","true",2233,2019,41.704304835,-87.634306708,TRUE
"86",24371,"HOMICIDE","true","false",734,2019,41.764064647,-87.659514616,TRUE
"87",24639,"HOMICIDE","false","false",1112,2019,41.894285768,-87.718717474,TRUE
"88",24421,"HOMICIDE","true","false",723,2019,41.775652068,-87.640762098,TRUE
"89",24654,"HOMICIDE","true","false",1233,2019,41.864278228,-87.659660218,TRUE
"90",24641,"HOMICIDE","false","false",632,2019,41.736392584,-87.621977949,TRUE
"91",24640,"HOMICIDE","false","false",2223,2019,41.729658969,-87.637365697,TRUE
"92",24650,"HOMICIDE","false","false",1513,2019,41.881197451,-87.76653692,TRUE
"93",24644,"HOMICIDE","true","false",914,2019,41.852868298,-87.63091491,TRUE
"94",24651,"HOMICIDE","true","false",421,2019,41.753050735,-87.555526554,TRUE
"95",24645,"HOMICIDE","false","false",612,2019,41.750123609,-87.658583016,TRUE
"96",24646,"HOMICIDE","false","false",423,2019,41.740347415,-87.553913774,TRUE
"97",24647,"HOMICIDE","false","false",423,2019,41.740347415,-87.553913774,TRUE
"98",24642,"HOMICIDE","false","false",1222,2019,41.882880585,-87.698023476,TRUE
"99",24643,"HOMICIDE","false","false",1233,2019,41.85943364,-87.661366648,TRUE
"100",24648,"HOMICIDE","false","false",1021,2019,41.860341651,-87.714028096,TRUE
"101",24649,"HOMICIDE","false","false",1531,2019,41.894960427,-87.753460758,TRUE
"102",24652,"HOMICIDE","true","false",331,2019,41.769049288,-87.576378338,TRUE
"103",24653,"HOMICIDE","false","false",524,2019,41.684996717,-87.648603163,TRUE
"104",24513,"HOMICIDE","true","false",2212,2019,41.688668592,-87.670121265,TRUE
"105",24656,"HOMICIDE","false","false",414,2019,41.758866925,-87.577055116,TRUE
